acd_name,correct_openalex_id,note
Dr Diona Lee Damian,A5109680281,Split profile: A5109680281 (59 works h=30) is more complete than A5040089794 (48 works h=18). Both at University of Sydney. Use the higher-work-count profile.
Dr Hans Peter Soyer,A5033462323,"Correct profile: H. Peter Soyer, 1217 works, h=87, UQ dermatology"
Prof Deirdre Frances Murrell,A5000758369,"Correct profile: Dedee F. Murrell, 779 works, h=69, UNSW dermatology"
Prof Rodney Daniel Sinclair,A5035044854,"Correct profile: Rodney Sinclair, 847 works, h=76, Melbourne dermatology"
Dr Dana Rose-Marie Louise Slape,A5007841453,"Smart re-resolution. works=3, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Rosemary Louise Nixon,A5068020081,"Smart re-resolution. works=276, h=37, au_nz=True, derm=True, cross_verified=False, score=100"
Dr Leith Banney,A5066107659,"Smart re-resolution. works=25, h=9, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Ilsphi  Browne,A5108998151,"Smart re-resolution. works=2, h=1, au_nz=True, derm=True, cross_verified=False, score=100"
Dr Kanika  Sahni,A5106652350,"Smart re-resolution. works=43, h=12, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Shui Lyn  Koh,A5039354130,"Smart re-resolution. works=1, h=1, au_nz=False, derm=True, cross_verified=True, score=77"
Dr Werner  Sinclair,A5110482938,"Smart re-resolution. works=14, h=6, au_nz=False, derm=True, cross_verified=True, score=85"
A/Prof Douglas Gin,A5085969478,"Smart re-resolution. works=2, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Charles Xie,A5110680680,"Smart re-resolution. works=9, h=7, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Justin  Bui,A5081715298,"Smart re-resolution. works=26, h=8, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Claire Elizabeth Grills,A5018031642,"Smart re-resolution. works=13, h=7, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Ajay Kumar,A5112541324,"Smart re-resolution. works=286, h=41, au_nz=True, derm=False, cross_verified=True, score=90"
A/Prof Gayle Fischer,A5044429182,"Smart re-resolution. works=294, h=39, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Shobhan  Manoharan,A5085887200,"Smart re-resolution. works=47, h=9, au_nz=True, derm=True, cross_verified=True, score=92"
Dr Thevaki  Wain,A5006758936,"Smart re-resolution. works=3, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Bruno  Blaya Alvarez,A5013822061,"Smart re-resolution. works=2, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Andrea  Tomizawa,A5007381136,"Smart re-resolution. works=1, h=0, au_nz=False, derm=True, cross_verified=False, score=85"
Dr Sarah Kirsten McDonald,A5063609999,"Smart re-resolution. works=4, h=2, au_nz=True, derm=True, cross_verified=True, score=92"
Dr Thomas Jonathan Stewart,A5006276166,"Smart re-resolution. works=112, h=18, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Kate DeAmbrosis,A5075556725,"Smart re-resolution. works=1, h=1, au_nz=True, derm=False, cross_verified=False, score=90"
Dr Andrew Charles Miller,A5103198015,"Smart re-resolution. works=30, h=12, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Gul  Erkin Ozaygen,A5046999463,"Smart re-resolution. works=6, h=3, au_nz=False, derm=True, cross_verified=False, score=62"
Dr Gerrie Becker,A5010032534,"Smart re-resolution. works=1, h=1, au_nz=True, derm=False, cross_verified=False, score=90"
Dr Andrew Chih-Chieh Chen,A5043282205,"Smart re-resolution. works=3, h=2, au_nz=True, derm=True, cross_verified=False, score=100"
Dr William Archer Berry,A5059344851,"Smart re-resolution. works=47, h=11, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Louis Chan,A5008383258,"Smart re-resolution. works=51, h=34, au_nz=True, derm=False, cross_verified=False, score=90"
Dr Sara  Sabourirad,A5040861495,"Smart re-resolution. works=13, h=3, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Burcu  Kim,A5014705000,"Smart re-resolution. works=2, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Yan  Pan,A5023358599,"Smart re-resolution. works=151, h=34, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Sandeep  Kumar,A5019074218,"Smart re-resolution. works=429, h=44, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Shiva  Baghaei,A5047231006,"Smart re-resolution. works=113, h=25, au_nz=False, derm=False, cross_verified=False, score=45"
Dr Gilberto Moreno Bonilla,A5057848257,"Smart re-resolution. works=17, h=4, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Erin Mullan,A5079690275,"Smart re-resolution. works=3, h=2, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Daram Singh,A5000916743,"Smart re-resolution. works=3, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Samuel Antranig Der Sarkissian,A5103920109,"Smart re-resolution. works=3, h=3, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Niyati  Sharma,A5101264619,"Smart re-resolution. works=18, h=5, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Kamaldeep  Sandhu,A5111946828,"Smart re-resolution. works=37, h=14, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Wenyuan  Liu,A5100616410,"Smart re-resolution. works=397, h=41, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Matthew John Warren,A5104018617,"Smart re-resolution. works=1, h=1, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Yu-Chuan  Lee,A5012670374,"Smart re-resolution. works=7, h=3, au_nz=True, derm=True, cross_verified=True, score=92"
Dr Rose Congwei Liu,A5083646511,"Smart re-resolution. works=2, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Julia Emma Joy Rhodes,A5012538350,"Smart re-resolution. works=2, h=2, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Priyamvada  Sobarun,A5072396572,"Smart re-resolution. works=2, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Ane Beatriz  Mautari Niwa Massaki,A5020998865,"Smart re-resolution. works=6, h=5, au_nz=False, derm=True, cross_verified=False, score=85"
Dr Nelly  Jang,A5031981183,"Smart re-resolution. works=1, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Nisansala Mahenthi Nagodavithana,A5012112653,"Smart re-resolution. works=1, h=0, au_nz=True, derm=True, cross_verified=False, score=100"
Dr Sara Lee De Menezes,A5089259052,"Smart re-resolution. works=14, h=5, au_nz=True, derm=True, cross_verified=False, score=100"
Dr On Bon  Chan,A5018777284,"Smart re-resolution. works=9, h=4, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Helena  Collgros Totosaus,A5091809379,"Smart re-resolution. works=1, h=1, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Ritu  Gupta,A5032576109,"Smart re-resolution. works=451, h=35, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Sam  Kalouche,A5060033451,"Smart re-resolution. works=2, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Alfonso  Perez De Velasco,A5126065076,"Smart re-resolution. works=1, h=0, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Jack Shannon,A5061899233,"Smart re-resolution. works=6, h=1, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Alexander James Tedman,A5050672966,"Smart re-resolution. works=3, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Bonita Choy,A5042286929,"Smart re-resolution. works=9, h=6, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Patricia Margaret Lowe,A5087214355,"Smart re-resolution. works=56, h=17, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Hock Cheng Chua,A5049389237,"Smart re-resolution. works=1, h=1, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Matthew David Howard,A5071927070,"Smart re-resolution. works=29, h=10, au_nz=True, derm=True, cross_verified=True, score=100"
Dr David  Burdon-Jones,A5036020524,"Smart re-resolution. works=9, h=6, au_nz=True, derm=True, cross_verified=True, score=85"
Dr Mohamed Saleem Loghdey,A5021704459,"Smart re-resolution. works=1, h=1, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Shueh-Wei  Lim,A5003894150,"Smart re-resolution. works=2, h=2, au_nz=True, derm=True, cross_verified=True, score=92"
Dr Koraisha  Hoosen,A5017026516,"Smart re-resolution. works=5, h=2, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Philip  Bruder,A5064939640,"Smart re-resolution. works=1, h=1, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Du-Chien Jean Marie Tan,A5011050671,"Smart re-resolution. works=6, h=3, au_nz=True, derm=True, cross_verified=True, score=70"
Dr James Young Joon Choi,A5030063800,"Smart re-resolution. works=27, h=12, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Themis  Getsos Colla,A5081949803,"Smart re-resolution. works=6, h=4, au_nz=True, derm=True, cross_verified=True, score=100"
Dr James Michael Butler,A5100839584,"Smart re-resolution. works=4, h=1, au_nz=False, derm=False, cross_verified=True, score=75"
Dr John Francis Shannon,A5042567418,"Smart re-resolution. works=1, h=1, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Irene  Grigoris,A5087219559,"Smart re-resolution. works=3, h=3, au_nz=True, derm=True, cross_verified=True, score=100"
Dr David Yu Shun Wong,A5015945824,"Smart re-resolution. works=1, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Rachel Walther,A5109120112,"Smart re-resolution. works=3, h=1, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Niamh Anna O'Sullivan,A5111502123,"Smart re-resolution. works=3, h=2, au_nz=True, derm=True, cross_verified=True, score=92"
A/Prof Anne Howard,A5074376223,"Smart re-resolution. works=199, h=16, au_nz=True, derm=True, cross_verified=False, score=100"
Dr Ann-Maree  Kurzydlo,A5098506751,"Smart re-resolution. works=1, h=1, au_nz=True, derm=True, cross_verified=True, score=92"
Dr Sudha  Anish,A5001493559,"Smart re-resolution. works=1, h=1, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Matthew Gibson,A5072841592,"Smart re-resolution. works=391, h=63, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Mark  Cicchiello,A5010663231,"Smart re-resolution. works=1, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Victoria Rebecca Harris,A5041390355,"Smart re-resolution. works=39, h=12, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Lauren Cordelia Young,A5109870477,"Smart re-resolution. works=2, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Lei  Tong,A5063107775,"Smart re-resolution. works=157, h=36, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Benjamin Silas Daniel,A5086530387,"Smart re-resolution. works=95, h=18, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Niluka Dilrukshi Paththinige,A5098182344,"Smart re-resolution. works=1, h=1, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Chen  Xie,A5042711716,"Smart re-resolution. works=182, h=48, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Sue Yin  Ng,A5110236829,"Smart re-resolution. works=1, h=1, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Timothy Gilbert Elliott,A5010913402,"Smart re-resolution. works=3, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
