acd_name,openalex_author_id,openalex_work_id,author_position,is_corresponding,_link_key
Dr Aakriti  Gupta,A5016354767,W2131039992,first,False,Dr Aakriti  Gupta|W2131039992
Dr Aakriti  Gupta,A5016354767,W2066443369,first,True,Dr Aakriti  Gupta|W2066443369
Dr Aakriti  Gupta,A5016354767,W1857449875,first,False,Dr Aakriti  Gupta|W1857449875
Dr Aakriti  Gupta,A5016354767,W3023980205,first,True,Dr Aakriti  Gupta|W3023980205
Dr Aakriti  Gupta,A5016354767,W2345641474,first,True,Dr Aakriti  Gupta|W2345641474
Dr Aakriti  Gupta,A5016354767,W1906331985,first,False,Dr Aakriti  Gupta|W1906331985
Dr Aakriti  Gupta,A5016354767,W2652202789,middle,False,Dr Aakriti  Gupta|W2652202789
Dr Aakriti  Gupta,A5016354767,W2496158973,first,False,Dr Aakriti  Gupta|W2496158973
Dr Aakriti  Gupta,A5016354767,W2171045894,middle,False,Dr Aakriti  Gupta|W2171045894
Dr Aakriti  Gupta,A5016354767,W2315184940,middle,False,Dr Aakriti  Gupta|W2315184940
Dr Aakriti  Gupta,A5016354767,W3170525497,middle,False,Dr Aakriti  Gupta|W3170525497
Dr Aakriti  Gupta,A5016354767,W4206668002,first,False,Dr Aakriti  Gupta|W4206668002
Dr Adam Robert Andrew Daunton,A5081386231,W2285201826,middle,False,Dr Adam Robert Andrew Daunton|W2285201826
Dr Adam Robert Andrew Daunton,A5081386231,W2148752090,first,False,Dr Adam Robert Andrew Daunton|W2148752090
Dr Adam Robert Andrew Daunton,A5081386231,W2254494621,middle,False,Dr Adam Robert Andrew Daunton|W2254494621
Dr Adam Robert Andrew Daunton,A5081386231,W4280521508,middle,False,Dr Adam Robert Andrew Daunton|W4280521508
Dr Adam Robert Andrew Daunton,A5081386231,W2419426707,middle,False,Dr Adam Robert Andrew Daunton|W2419426707
Dr Adam Robert Andrew Daunton,A5081386231,W4365443687,first,True,Dr Adam Robert Andrew Daunton|W4365443687
Dr Adam Robert Andrew Daunton,A5081386231,W3214846869,middle,False,Dr Adam Robert Andrew Daunton|W3214846869
Dr Adam Robert Andrew Daunton,A5081386231,W2923983356,first,True,Dr Adam Robert Andrew Daunton|W2923983356
Dr Adam Robert Andrew Daunton,A5081386231,W2941083404,first,True,Dr Adam Robert Andrew Daunton|W2941083404
Dr Adam Robert Andrew Daunton,A5081386231,W4248128364,middle,False,Dr Adam Robert Andrew Daunton|W4248128364
Dr Adam Robert Andrew Daunton,A5081386231,W2905341416,first,False,Dr Adam Robert Andrew Daunton|W2905341416
Dr Adam Robert Andrew Daunton,A5081386231,W2204122738,first,False,Dr Adam Robert Andrew Daunton|W2204122738
Dr Adam Robert Andrew Daunton,A5081386231,W4414673637,middle,False,Dr Adam Robert Andrew Daunton|W4414673637
Dr Adam Robert Andrew Daunton,A5081386231,W4411732702,last,False,Dr Adam Robert Andrew Daunton|W4411732702
Dr Adam Robert Andrew Daunton,A5081386231,W3022715455,first,False,Dr Adam Robert Andrew Daunton|W3022715455
Dr Adam Robert Andrew Daunton,A5081386231,W2145940123,first,False,Dr Adam Robert Andrew Daunton|W2145940123
Dr Adam Robert Andrew Daunton,A5081386231,W2599120744,middle,False,Dr Adam Robert Andrew Daunton|W2599120744
Dr Adam Robert Andrew Daunton,A5081386231,W2179345136,first,False,Dr Adam Robert Andrew Daunton|W2179345136
Dr Adam Robert Andrew Daunton,A5081386231,W2884866367,first,True,Dr Adam Robert Andrew Daunton|W2884866367
Dr Adam Robert Andrew Daunton,A5081386231,W2268044987,first,False,Dr Adam Robert Andrew Daunton|W2268044987
Dr Adam Robert Andrew Daunton,A5081386231,W2523517156,first,False,Dr Adam Robert Andrew Daunton|W2523517156
Dr Adam Robert Andrew Daunton,A5081386231,W2558256750,first,False,Dr Adam Robert Andrew Daunton|W2558256750
Dr Adam Robert Andrew Daunton,A5081386231,W3135899335,first,True,Dr Adam Robert Andrew Daunton|W3135899335
Dr Adam Robert Andrew Daunton,A5081386231,W3201163399,first,True,Dr Adam Robert Andrew Daunton|W3201163399
Dr Adam Robert Andrew Daunton,A5081386231,W4214833069,middle,False,Dr Adam Robert Andrew Daunton|W4214833069
Dr Adam Robert Andrew Daunton,A5081386231,W4214859140,middle,False,Dr Adam Robert Andrew Daunton|W4214859140
Dr Adam Robert Andrew Daunton,A5081386231,W4317615546,middle,False,Dr Adam Robert Andrew Daunton|W4317615546
Dr Adam Robert Andrew Daunton,A5081386231,W4319334426,last,False,Dr Adam Robert Andrew Daunton|W4319334426
