acd_name,trial_id,registry,title,status,condition,intervention,phase,start_date,completion_date,role,sponsor,url
Dr Andrew Charles Miller,12615000444583,ANZCTR,Can games based professional learning for community sports coaches for the improvement of coaching quality and student outcomes of physical skills and self-perception?,Completed,Game play abilities|Perceived motivational climate|Physical activity levels|Physical self perception,Behaviour|Lifestyle,Not Applicable,2015-04-22,2015-06-19,Principal Investigator,University of Newcastle,
Dr Andrew Charles Miller,12616001612404,ANZCTR,Effects of the QuickSmart Numeracy program on the mathematics outcomes of year 4 and 8 students.,Completed,Mathematics efficacy|Numeracy ability,Treatment: Other,Not Applicable,2017-01-23,2017-03-10,Principal Investigator,University of Newcastle,
Dr Andrew Charles Miller,12613000605796,ANZCTR,Games based professional learning for primary school teachers for the improvement of teaching quality and student outcomes of physical skills and self-perception during physical education.,Completed,Fundamental movement skills|Physical self perception|Quality of Teaching,Behaviour,Not Applicable,2012-09-01,2013-04-18,Principal Investigator,University of Newcastle,
Dr Andrew Chih-Chieh Chen,12622000111774,ANZCTR,Online clinical trial on a novel topical gel for hand osteoarthritis pain,Not yet recruiting,Hand osteoarthritis,Treatment: Drugs,Not Applicable,2022-02-14,2022-06-01,Principal Investigator,University of Canberra,
Dr Anna  Braue,12613000419763,ANZCTR,A prospective study to assess the effect of adalimumab on cardiovascular biomarkers in participants with severe chronic plaque psoriasis ,Not yet recruiting,Chronic plaque psoriasis,Treatment: Drugs,Not Applicable,2013-04-30,,Principal Investigator,Dr Anna Braue,
Dr Annika  Smith,12624000498594,ANZCTR,Efficacy of text messaging in improving care for psoriasis patients ,Not yet recruiting,Psoriasis,Behaviour|Lifestyle|Prevention,Not Applicable,2024-04-29,2024-06-11,Principal Investigator,Western Sydney Local Health District,
Dr Bevin  Bhoyrul,12624000388516,ANZCTR,Hidradenitis suppurativa treated with follicular unit excision: A prospective controlled 24-week pilot study,Not yet recruiting,Hidradenitis suppurativa ,Treatment: Surgery,Not Applicable,2024-04-08,,Principal Investigator,Dr Bevin Bhoyrul,
Dr Casey Jane Rowe,12615000980538,ANZCTR,"A single-center study of the safety, tolerability and pharmacokinetics of a single concentration of topical SM04554 (0.25% concentration) solution in male subjects with androgenetic alopecia.",Completed,Androgenetic alopecia (AGA) ,Treatment: Drugs,Phase 1,2015-07-09,2015-11-26,Principal Investigator,Samumed Pacific Pty Ltd,
Dr Catherine Margaret Reid,12617000498392,ANZCTR,A Single-Centre Open-label Pharmacology Study of Topically Applied MTC896 Gel in Healthy Volunteers.,Completed,Acne,Treatment: Drugs,,2017-05-03,2017-05-17,Principal Investigator,Mimetica Pty Ltd,
Dr Catherine Margaret Reid,12618001047280,ANZCTR,"A Randomized, Double-Blind, Vehicle-Controlled Study to Evaluate the Safety and Efficacy of BTX 1503 in Patients with Moderate to Severe Acne Vulgaris",Completed,Acne vulgaris,Treatment: Drugs,Phase 2,2018-06-29,2019-05-15,Principal Investigator,Botanix Pharmaceuticals Ltd,
Dr Catherine Margaret Reid,12619000599178,ANZCTR,"A Phase 1/2a Study to Assess the Safety, Tolerability, Pharmacokinetics, Pharmacodynamic Effects and Exploratory Efficacy of FPP003 Vaccine in Subjects with Psoriasis.",Completed,Psoriasis,Treatment: Drugs,Phase 1 / Phase 2,2019-04-17,2022-06-06,Principal Investigator,FunPep Co. Ltd.,
Dr Catherine Margaret Reid,12618001802291,ANZCTR,"Vehicle and Comparator-Controlled, Evaluator-blinded Trial
to Evaluate the Safety and Anti-Psoriatic Efficacy of Topical
Formulations of BTX 1308 in Subjects with Psoriasis Vulgaris
in a Psoriasis Plaque Test",Completed,Psoriasis vulgaris,Treatment: Drugs,Phase 1,2018-10-31,2019-02-06,Principal Investigator,Botanix Pharmaceuticals Limited,
Dr Claudia Elizabeth Spence Curchin,12617000256370,ANZCTR,A cost-benefit analysis of the use of reflectance confocal microscopy (RCM) in dermatological clinical practice,Completed,Skin cancer,Diagnosis / Prognosis,Not Applicable,2017-04-06,2018-05-11,Principal Investigator,Princess Alexandra Hospital,
Dr David Keith Cook,12619001684112,ANZCTR,"An Early Feasibility Study to Obtain Imaging Data from Participants with
a Diagnosed Stroke to Refine the Algorithm for the EMVision Brain Scanner",Completed,Stroke diagnosis,Diagnosis / Prognosis,Not Applicable,2020-01-31,2021-10-08,Principal Investigator,EMvision Medical Devices Ltd,
Dr Diana Marie Rubel,12623000117617,ANZCTR,"A Multi-Centre, Randomized, Double-Blind, Placebo-Controlled, Single Ascending Dose Phase 1 Study to Evaluate the Safety, Tolerability and Pharmacokinetics of OLX72021 in Healthy Males with Androgenetic Alopecia.",Completed,Androgenetic Alopecia,Treatment: Drugs,Phase 1,2023-06-05,2024-06-19,Principal Investigator,OLIX AU PTY LTD,
Dr Diana Marie Rubel,12615000812594,ANZCTR,Epidemiological study of Hidradenitis Suppurativa (HS) to determine the prevalence and severity of the disease in the Australian population.,Completed,Hidradenitis Suppurativa,Not applicable,Not Applicable,2015-08-15,2015-12-11,Principal Investigator,AbbVie Pty Ltd,
Dr Diona Lee Damian,12609000475246,ANZCTR,Topical immunotherapy with diphencyprone for cutaneous metastatic melanoma,Completed,Melanoma metastatic and/or locally recurrent to skin,Treatment: Drugs|Treatment: Other,Phase 1 / Phase 2,2009-06-16,2013-03-04,Principal Investigator,Royal Prince Alfred Hospital,
Dr Diona Lee Damian,12610000689077,ANZCTR,"Randomised, double-blind, placebo controlled study to assess efficacy of oral nicotinamide (500mg daily) in the treatment and prevention of actinic keratoses.",Completed,Actinic keratoses,Treatment: Drugs,Phase 2 / Phase 3,2010-09-01,2011-03-01,Principal Investigator,Royal Prince Alfred Hospital,
Dr Diona Lee Damian,12621000851864,ANZCTR,Intralesional triamcinolone acetonide for squamous cell carcinoma of the lower limbs ,Recruiting,Cutaneous squamous cell carcinoma,Treatment: Drugs,Phase 2,2024-04-26,2026-07-04,Principal Investigator,Sydney Local Health District,
Dr Diona Lee Damian,12623000629639,ANZCTR,"Ex-vivo confocal microscopy: diagnostic accuracy, acceptability & feasibility for skin cancers and inflammatory dermatoses",Recruiting,inflammatory dermatoses|skin cancer,Diagnosis / Prognosis,Not Applicable,2023-08-23,2027-12-31,Principal Investigator,Royal Prince Alfred Hospital,
Dr Diona Lee Damian,12617000599370,ANZCTR,"Effect of oral nicotinamide (vitamin B3) on skin cancer incidence and actinic keratoses in kidney, liver, heart and lung transplant recipients: a randomised controlled Phase 3 trial",Stopped early,actinic keratoses|basal cell carcinoma|cutaneous squamous cell carcinoma|non-melanoma skin cancer,Prevention|Treatment: Drugs,Phase 3,2017-05-16,2019-08-29,Principal Investigator,University of Sydney,
Dr Diona Lee Damian,12612000625875,ANZCTR,ONTRAC: Effect of oral nicotinamide (vitamin B3) on incidence of nonmelanoma skin cancer and actinic keratoses: a randomised controlled trial (Oral Nicotinamide To Reduce Actinic Cancer),Completed,Actinic keratoses|Basal cell carcinoma|Cognitive function|Cutaneous squamous cell carcinoma|Nonmelanoma skin cancer|Transepidermal water loss,Prevention|Treatment: Drugs,Phase 3,2012-07-02,2013-06-14,Principal Investigator,University of Sydney,
Dr Diona Lee Damian,12626000212358,ANZCTR,Enhancing Sunscreen Habits in High Risk patients ,Recruiting,Actinic keratosis,Treatment: Other,Not Applicable,2026-04-20,,Principal Investigator,Sydney Local Health District,
Dr Diona Lee Damian,12612000628842,ANZCTR,Effect of oral nicotinamide (vitamin B3) on nonmelanoma skin cancer incidence and actinic keratoses in renal transplant recipients: a randomised controlled trial,Completed,Actinic keratoses|Basal cell carcinoma|Cognitive function|Cutaneous squamous cell carcinoma|Kidney function after transplant|Nonmelanoma skin cancer,Prevention|Treatment: Drugs,Phase 2,2012-08-09,2014-03-21,Principal Investigator,University of Sydney,
Dr Ernest Boon Cheng Tan,12614000125628,ANZCTR,Efficient and effective management of stiffness following immobilisation of simple phalangeal and metacarpal fractures.,Completed,"simple, undisplaced metacarpal fractures of the hand|simple, undisplaced phalanx fractures of the hand
",Rehabilitation,Not Applicable,2014-12-01,2015-08-31,Principal Investigator,Princess Margaret hospital,
Dr Gayle Loraine Ross,12622000799752,ANZCTR,"A Phase 2, Randomized, Open Label Study of Bitopertin administered orally to Evaluate the Safety, Tolerability, Efficacy, and Protoporphyrin IX (PPIX) Concentrations in Participants with Erythropoietic Protoporphyria (EPP)",Completed,Erythropoietic Protoporphyria (EPP),Treatment: Drugs,Phase 2,2022-09-29,2023-11-16,Principal Investigator,"Disc Medicine, Inc.",
Dr Hans Peter Soyer,12615000244505,ANZCTR,"Genotypes of skin, hair and eye colour and mole types and distribution in melanoma patients vs non-melanoma patients",Completed,Melanoma,Not applicable,Not Applicable,2009-10-19,2016-11-11,Principal Investigator,Hans Peter Soyer,
Dr Jane Anne Woods,12619000802101,ANZCTR,The microbiome and role of biofilms in Hidradenitis Suppurativa,Completed,Hidradenitis suppurativa,Not applicable,Not Applicable,2019-06-18,2020-07-13,Principal Investigator,"Liverpool Hospital, Department of Dermatology",
Dr Johannes Steffen Kern,12619001378112,ANZCTR,"A Phase I clinical study to evaluate safety, tolerability and biological activity of platelet-derived extracellular vesicles on wound healing in healthy adults",Stopped early,Wound healing,Treatment: Drugs,Phase 1,2019-11-18,2020-03-10,Principal Investigator,Exopharm Ltd,
Dr John Renford Sullivan,12622000340730,ANZCTR,Testing the ability of oral nicotinamide riboside to replenish heart tissue levels of oxidized nicotinamide adenine dinucleotide using heart biopsies taken at the time of surgery.,Not yet recruiting,Heart failure with preserved ejection fraction (HFpEF),Treatment: Drugs,Phase 4,2022-04-05,2024-04-02,Principal Investigator,Sydney Local Health District,
Dr John Renford Sullivan,12620000991910,ANZCTR,"Double-blind, placebo-controlled, cross-over trial of LivauxTM for the treatment of constipation and microbiome restoration in Parkinson’s disease.

",Stopped early,Constipation|Parkinson's Disease,Treatment: Other,Not Applicable,2020-11-23,2022-04-20,Principal Investigator,The University of Queensland,
Dr John Renford Sullivan,12622000372785,ANZCTR,"Replenishing a vital molecule in stiff heart failure patients and examining effect on heart stiffness, blood pressure, and exercise tolerance",Not yet recruiting,Heart failure with preserved ejection fraction (HFpEF),Treatment: Drugs,Phase 4,2022-04-05,2025-04-08,Principal Investigator,Sydney Local Health District,
Dr John Renford Sullivan,12625001252404,ANZCTR,Evaluating the central and peripheral effects of aerobic and resistance exercise in “stiff” heart failure.PEF-EX study ,Recruiting,heart failure with preserved ejection fraction,Treatment: Other,Not Applicable,2025-08-05,2026-03-31,Principal Investigator,Sydney Local health District ,
Dr John Walter Frew,12623000211662,ANZCTR,A Biomarker-Driven Approach to Identify Pathogenic Mechanisms and Novel Therapeutic Targets in Chronic Wounds (Pyoderma Gangrenosum) using Tildrakizumab,Completed,Pyoderma Gangrenosum,Treatment: Drugs,Phase 2,2023-03-02,2023-05-01,Principal Investigator,Liverpool Hospital,
Dr John William Kelly,12614000928617,ANZCTR,The Role of Imdur in Cortisol-Induced Hypertension in Humans,Completed,Hypertension,Treatment: Drugs,Not Applicable,2007-06-13,2008-06-30,Principal Investigator,Dr John Kelly,
Dr Julia Emma Joy Rhodes,12618001969257,ANZCTR,"Comparing information for consent for cardiology procedures given by a video, or by a doctor, to see if this improves patient understanding of a procedure. 
",Not yet recruiting,Chest pain|Coronary artery disease|Ischaemic heart disease,Behaviour,Not Applicable,2020-03-02,2020-11-16,Principal Investigator,Consentic,
Dr Kurt Aaron Josef Gebauer,12619001544167,ANZCTR,"A three-part, double-blind, placebo-controlled, phase I/Ib study of the safety, tolerability and pharmacokinetics of single and multiple ascending doses of IMU-935 in healthy volunteers and Psoriasis Patients.",Completed,Psoriasis,Treatment: Drugs,Phase 1,2019-09-17,2022-09-02,Principal Investigator,Immunic Australia Pty Ltd,
Dr Kurt Aaron Josef Gebauer,12617001437358,ANZCTR,A Safety Study of BTX 1204 Solution in Patients with Atopic Dermatitis ,Completed,Atopic Dermatitis,Treatment: Drugs,Phase 1,2017-11-17,2018-04-10,Principal Investigator,Botanix Pharmaceuticals Ltd ,
Dr Lauren Peta Kunde,12613000974707,ANZCTR,"A Single-Center, Randomized, Double-Blind, Placebo Controlled Study of the Safety, Tolerability and Pharmacokinetics of Various Concentrations of Topical SM04554 Solution in Male Subjects with Androgenetic Alopecia.",Completed,Androgenetic Alopecia,Treatment: Drugs,Phase 1,2013-09-10,2013-11-14,Principal Investigator,Samumed LLC,
Dr Lynda Jane Spelman,12622000008729,ANZCTR,"An Exploratory, Open-label Study to Evaluate the Safety, Tolerability, and Efficacy of GDD3898 Topical Gel in Subjects with Sebaceous Hyperplasia",Completed,Sebaceous Hyperplasia,Treatment: Drugs,Phase 2,2022-01-31,2022-06-30,Principal Investigator,InClin Pty Ltd,
Dr Lynda Jane Spelman,12622000395730,ANZCTR,Study of topical AB-101 hydrogel versus vehicle in participants with atopic dermatitis.,Completed,Atopic Dermatitis,Treatment: Drugs,Phase 2,2022-05-16,2023-05-04,Principal Investigator,"Alphyn Biologics Australia Pty. Ltd., a subsidiary of Alphyn Biologics, LLC",
Dr Lynda Jane Spelman,12613000756729,ANZCTR,"Comparison of the efficacy, safety and tolerability of topically applied tretinoin formulated with TPM, a lead commercially available tretinoin cream and a vehicle (placebo) in the treatment of mild to moderate acne vulgaris",Completed,Treatment of acne vulgaris,Treatment: Drugs,Phase 2,2013-07-26,2014-04-15,Principal Investigator,Phosphagenics,
Dr Lynda Jane Spelman,12617001178336,ANZCTR,"A Phase 1, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety, Tolerability, and Pharmacokinetics of Multiple Ascending Doses of Topical SM04755 Solution Following Topical Administration to Subjects with Mild to Moderate Plaque Psoriasis",Stopped early,Plaque psoriasis,Treatment: Drugs,Phase 1,2017-10-09,2018-07-03,Principal Investigator,Samumed Pacific Pty Ltd,
Dr Lynda Jane Spelman,12617001127392,ANZCTR,Study of BTX 1503 Solution in Patients with Acne Vulgaris,Completed,Acne,Treatment: Drugs,Phase 1,2017-10-24,2017-12-08,Principal Investigator,Botanix Pharmaceuticals Ltd,
