openalex_work_id,acd_name,funder_id,funder_name,funder_ror,award_id,award_name,funder_award_id
W2968018599,Assoc Prof Amanda Michelle Saracino,,UCB,,G1966858084,,
W4291565004,Assoc Prof Amanda Michelle Saracino,,National Health and Medical Research Council,,G4413589333,,
W4291565004,Assoc Prof Amanda Michelle Saracino,,National Health and Medical Research Council,,G5408864983,,
W4291565004,Assoc Prof Amanda Michelle Saracino,,National Health and Medical Research Council,,G5463407522,,
W4291565004,Assoc Prof Amanda Michelle Saracino,,National Health and Medical Research Council,,G5671052365,Regulation of Haemopoietic and Immune Cells in Health and Disease,
W4291565004,Assoc Prof Amanda Michelle Saracino,,National Health and Medical Research Council,,G78198795,,
W2159211746,Assoc Prof Amanda Michelle Saracino,,British Heart Foundation,,G3495262540,Progressing classification and understanding of primary lymphoedema by genetic analysis of patient cohorts,
W4410973503,Assoc Prof Amanda Michelle Saracino,,National Health and Medical Research Council,,G78198795,,
W2408400092,Dr Aaron Edward Boyce,,National Institute of Diabetes and Digestive and Kidney Diseases,,G1756607400,,
W2605464570,Dr Aaron Edward Boyce,,National Institute for Health and Care Research,,G6484529767,"Improving childhood atopic eczema through clinical trials of prevention, education and therapy",
W2593383097,Dr Aaron Edward Boyce,,National Institute for Health and Care Research,,G1519355852,NIHR Senior Investigator Award,
W2472237366,Dr Aaron Edward Boyce,,National Institute of Diabetes and Digestive and Kidney Diseases,,G1756607400,,
W2503141921,Dr Aaron James Robinson,,National Health and Medical Research Council,,G1254732888,,
W2503141921,Dr Aaron James Robinson,,St. Baldrick's Foundation,,G1580148972,,
W2503141921,Dr Aaron James Robinson,,National Health and Medical Research Council,,G2459224897,Statistical bioinformatics for genomic research,
W2503141921,Dr Aaron James Robinson,,National Health and Medical Research Council,,G4220198167,,
W2503141921,Dr Aaron James Robinson,,National Health and Medical Research Council,,G7512182869,,
W2503141921,Dr Aaron James Robinson,,National Health and Medical Research Council,,G7531959418,,
W2503141921,Dr Aaron James Robinson,,National Health and Medical Research Council,,G98884187,Molecular Regulation of Haematopoiesis in Health and Disease,
W2804882087,Dr Aaron James Robinson,,National Health and Medical Research Council,,G2827966881,,
W2804882087,Dr Aaron James Robinson,,National Health and Medical Research Council,,G5671052365,Regulation of Haemopoietic and Immune Cells in Health and Disease,
W2804882087,Dr Aaron James Robinson,,National Health and Medical Research Council,,G7512182869,,
W2804882087,Dr Aaron James Robinson,,National Health and Medical Research Council,,G7531959418,,
W2804882087,Dr Aaron James Robinson,,National Health and Medical Research Council,,G8323242883,,
W2285201826,Dr Adam Robert Andrew Daunton,,Public Health Agency,,G3178983131,,
W2419426707,Dr Adam Robert Andrew Daunton,,Cancer Research UK,,G8192024293,,
W2108080680,Dr Adrian Cheok Kean Lim,,Engineering and Physical Sciences Research Council,,G1133159466,Understanding the Physical Basis of gene/drug delivery with ultrasound and microbubbles,
W2108080680,Dr Adrian Cheok Kean Lim,,Engineering and Physical Sciences Research Council,,G1919719646,Therapeutic Imaging,
W2108080680,Dr Adrian Cheok Kean Lim,,Engineering and Physical Sciences Research Council,,G3252549799,,
W2108080680,Dr Adrian Cheok Kean Lim,,Engineering and Physical Sciences Research Council,,G429548878,,
W2108080680,Dr Adrian Cheok Kean Lim,,Engineering and Physical Sciences Research Council,,G8802186593,Molecular Imaging Using Ultrasound and Targeted Microbubbles,
W2108080680,Dr Adrian Cheok Kean Lim,,Engineering and Physical Sciences Research Council,,G958550673,,
W2107920211,Dr Adrian Cheok Kean Lim,,National Institute for Health and Care Research,,G128303834,,
W2107920211,Dr Adrian Cheok Kean Lim,,National Institute for Health and Care Research,,G1628157787,,
W2032534668,Dr Adrian Cheok Kean Lim,,National Institute for Health and Care Research,,G128303834,,
W2995670091,Dr Adrian Cheok Kean Lim,,Cancer Research UK,,G1006845473,,
W2995670091,Dr Adrian Cheok Kean Lim,,Cancer Research UK,,G3188439257,,
W2995670091,Dr Adrian Cheok Kean Lim,,Cancer Research UK,,G4286074963,,
W2995670091,Dr Adrian Cheok Kean Lim,,Cancer Research UK,,G5036984571,,
W2995670091,Dr Adrian Cheok Kean Lim,,Pancreatic Cancer UK,,G6229562721,,
W2995670091,Dr Adrian Cheok Kean Lim,,Cancer Research UK,,G6349119567,,
W2995670091,Dr Adrian Cheok Kean Lim,,Cancer Research UK,,G7170538816,,
W2995670091,Dr Adrian Cheok Kean Lim,,Cancer Research UK,,G8879606640,,
W2938475891,Dr Adrian Cheok Kean Lim,,Engineering and Physical Sciences Research Council,,G1327574610,,
W2938475891,Dr Adrian Cheok Kean Lim,,Cancer Research UK,,G251400350,,
W2938475891,Dr Adrian Cheok Kean Lim,,Engineering and Physical Sciences Research Council,,G3204133401,,
W2938475891,Dr Adrian Cheok Kean Lim,,Engineering and Physical Sciences Research Council,,G3676520161,,
W2938475891,Dr Adrian Cheok Kean Lim,,Engineering and Physical Sciences Research Council,,G4243324684,Super Resolution Ultrasound Imaging,
W2938475891,Dr Adrian Cheok Kean Lim,,Cancer Research UK,,G5040845826,,
W2938475891,Dr Adrian Cheok Kean Lim,,Engineering and Physical Sciences Research Council,,G5793714314,Super Resolution Ultrasound Imaging,
W2938475891,Dr Adrian Cheok Kean Lim,,Engineering and Physical Sciences Research Council,,G762419458,Ultrafast contrast enhanced ultrasound for imaging and quantifying flow and tissue perfusion,
