acd_name,ahpra_proven,score_name,score_country,score_inst,score_topic,score_state,score_history,score_hospital,score_semantic,score_llm,total_score,confidence,reject_reason,ambiguity_flags
Dr Matthew James Palmer,1,15,25,15,0,0,0,0,0,0,60,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|COUNTRY_MISMATCH|INSTITUTION_MISMATCH|MIDDLE_NAME_MISMATCH
Dr Matthew John Warren,1,15,15,15,0,12,15,0,0,0,65,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|NO_TOPIC_DATA|NO_GEOGRAPHY_DATA|INSUFFICIENT_EVIDENCE
Dr Matthew Paul Hishon,1,15,25,0,15,12,0,0,0,0,75,REVIEW,,NO_TOPIC_VERIFICATION|LOW_WORKS_COUNT|PLAUSIBLE_CLINICIAN|INSUFFICIENT_PUBLICATION_DATA|LOW_PUBLICATION_COUNT
Dr Matthew Sang-Woo Cho,1,0,25,15,15,12,0,0,0,0,75,REVIEW,,LLM_DISAGREEMENT|UNVERIFIABLE_SPECIALTY|PLAUSIBLE_CLINICIAN|INSUFFICIENT_PUBLICATION_DATA|WEAK_TOPIC|LOW_PUBLICATION_COUNT|COMMON_NAME
Dr Megan Louise Andrews,1,15,25,15,15,12,0,0,0,0,90,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|COMMON_NAME|WEAK_TOPIC
Dr Meghana Prakash Paranjape,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Melissa Jane Carroll,1,15,25,15,0,12,0,0,0,0,75,REVIEW,,SPECIALTY_WEAK|LLM_DISAGREEMENT|LOW_WORKS_COUNT|UNVERIFIABLE_SPECIALTY|PLAUSIBLE_CLINICIAN|INSUFFICIENT_PUBLICATION_DATA|WEAK_TOPIC|NO_TOPIC_DATA|LOW_PUBLICATION_COUNT|COMMON_NAME
Dr Melissa Nicole Manahan,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Michael David Black,1,15,25,15,15,0,0,0,0,0,78,REVIEW,,PLAUSIBLE_CLINICIAN|SPARSE_PUBLICATION_RECORD
Dr Michael John Bannister,1,30,25,15,15,0,0,0,0,15,108,REVIEW,,LOW_WORKS_COUNT|PLAUSIBLE_CLINICIAN|UNVERIFIABLE_PUBLICATIONS|NO_TOPIC_DATA|LOW_PUBLICATION_COUNT
Dr Michael Ming Chit Li,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Michael Patrick Joseph Sharkey,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Michael Robin Lee,1,0,25,15,0,12,0,0,0,0,60,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|NAME_MISMATCH|WEAK_TOPIC
Dr Michael Victor Rich,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Millicent Heather Osti,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,PLAUSIBLE_CLINICIAN|AU_INSTITUTION_MATCH
Dr Mitchell Allan Trevor Robinson,1,0,25,15,15,12,0,0,0,0,75,REVIEW,,LLM_DISAGREEMENT|LOW_WORKS_COUNT|PLAUSIBLE_CLINICIAN|WEAK_TOPIC|INSUFFICIENT_DATA|LOW_PUBLICATION_COUNT|COMMON_NAME
Dr Mohamed Saleem Loghdey,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Munther Shabib Ghanim Zureigat,1,0,25,15,15,12,0,0,0,15,90,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT|RARE_NAME
Dr Nancy Ruth Todes-Taylor,1,15,25,15,0,0,0,0,0,15,78,REVIEW,,SPECIALTY_WEAK|LOW_WORKS_COUNT|PLAUSIBLE_CLINICIAN|INSTITUTION_MISMATCH|NO_TOPIC_DATA|RARE_NAME|LOW_PUBLICATION_COUNT
Dr Natalie Chuen-Ying Ling,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Neelanjana  Biswas,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Nerilee Ann Wall,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Niamh Anna O'Sullivan,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Nicholas Frank De Rosa,1,15,25,15,15,12,0,0,0,0,90,NOT_FOUND,llm_rejected,LLM_DISAGREEMENT|STATE_MISMATCH|PLAUSIBLE_CLINICIAN|INSUFFICIENT_PUBLICATION_DATA|WEAK_TOPIC|COUNTRY_MISMATCH
Dr Niluka Dilrukshi Paththinige,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Nina Yvette Wines,1,0,15,15,15,12,15,0,0,0,65,REVIEW,,LLM_DISAGREEMENT|NO_PUBLICATIONS_AVAILABLE|NO_COUNTRY_DATA|PLAUSIBLE_CLINICIAN|UNVERIFIABLE_PROFILE|NO_INSTITUTION_DATA|NO_TOPIC_DATA|NO_INSTITUTION
Dr Niyati  Sharma,1,40,15,15,0,12,15,0,0,0,90,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|COUNTRY_MISMATCH
Dr Noel Leslie Grieve,1,0,25,0,15,12,0,0,0,0,60,NOT_FOUND,llm_rejected,WEAK_TOPIC|INSTITUTION_MISMATCH|INSUFFICIENT_DATA
Dr Olivia Anastasia Charlton Joseph,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Ozge  Gunduz,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Patrick Campbell Walker,1,15,25,15,15,12,0,0,0,0,90,REVIEW,,LLM_DISAGREEMENT|LOW_WORKS_COUNT|PLAUSIBLE_CLINICIAN|INSUFFICIENT_PUBLICATION_DATA|WEAK_TOPIC|LOW_PUBLICATION_COUNT|COMMON_NAME
Dr Paul Anthony Curnow,1,15,15,15,15,0,15,0,0,0,68,NOT_FOUND,llm_rejected,INSUFFICIENT_DATA|NO_TOPIC_DATA|NO_INSTITUTION_DATA
Dr Paul Anthony Weller,1,0,25,15,15,0,0,15,0,15,93,REVIEW,,PLAUSIBLE_CLINICIAN|INSTITUTION_MATCH
Dr Paul Kiarash Khosrotehrani,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Paul Po-En Teng,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Penelope Ann Lee,1,15,25,0,0,12,0,0,0,0,60,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|MIDDLE_INITIAL_MISMATCH|INSUFFICIENT_PUBLICATION_DATA|PLAUSIBLE_CLINICIAN
Dr Penelope Anne Munro Alexander,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Perry Rowland Wilson,1,0,25,15,15,12,0,0,0,15,90,REVIEW,,PLAUSIBLE_CLINICIAN|COMMON_NAME
Dr Peter Anthony Hogan,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Peter Charles Frederiksen,1,15,25,0,15,0,0,0,0,15,78,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Peter Richard Sinclair,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Peter Sydney Jona Cowen,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Philip  Bruder,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Philip Dilip Gian Singh,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Philip James Clarke,1,15,25,15,15,12,0,0,0,0,90,NOT_FOUND,llm_rejected,COMMON_NAME|INSUFFICIENT_DATA|PLAUSIBLE_CLINICIAN
Dr Philip James Lane,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Phillip Keith Dwyer,1,15,25,15,15,0,0,0,0,15,93,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Phillip Thomas Swarbrick,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Phoebe Rebecca Gwendolen Star,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Piyu Parth Naik,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Pooja  Sharma,1,40,25,0,0,0,0,15,0,15,103,REVIEW,,SPECIALTY_WEAK|COMMON_NAME|PLAUSIBLE_CLINICIAN|AU_INSTITUTION_MATCH
Dr Pooja Avinash Kadam,1,0,15,15,15,12,15,0,0,0,65,NOT_FOUND,llm_rejected,COMMON_NAME|NO_TOPIC_DATA|NO_GEOGRAPHY_DATA|INSUFFICIENT_EVIDENCE
Dr Portia Meg Millar,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Pradeep  Kumar,1,30,25,0,0,12,0,0,0,0,75,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|WRONG_FIELD|COUNTRY_MATCH_BUT_SPECIALTY_MISMATCH
Dr Prateek  Sharma,1,40,25,0,0,0,0,15,0,15,103,REVIEW,,SPECIALTY_WEAK|COMMON_NAME|PLAUSIBLE_CLINICIAN|AU_INSTITUTION_MATCH
Dr Priska Barbara Brodbeck McDonald,1,0,25,15,15,0,0,15,0,0,78,REVIEW,,LLM_DISAGREEMENT|LOW_WORKS_COUNT|INSUFFICIENT_PUBLICATIONS|PLAUSIBLE_CLINICIAN|WEAK_TOPIC|INSTITUTION_MISMATCH|LOW_PUBLICATION_COUNT|DISTINCTIVE_NAME
Dr Quynh Van Le,1,15,25,15,15,12,0,0,0,0,90,REVIEW,,LLM_DISAGREEMENT|LOW_WORKS_COUNT|PLAUSIBLE_CLINICIAN|WEAK_TOPIC|INSUFFICIENT_DATA|LOW_PUBLICATION_COUNT|COMMON_NAME
Dr Rachael Stewart Foster,1,0,25,15,15,12,0,15,0,0,90,REVIEW,,LLM_DISAGREEMENT|PLAUSIBLE_CLINICIAN|WEAK_TOPIC|NO_PUBLICATION_DATA|NO_TOPIC_DATA|COMMON_NAME|INSUFFICIENT_EVIDENCE
Dr Ramez Ihab Barsoum,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,LOW_WORKS_COUNT|UNVERIFIABLE_SPECIALTY|PLAUSIBLE_CLINICIAN|NO_TOPIC_DATA|LOW_PUBLICATION_COUNT
Dr Raquel Mery Ruiz Araujo,1,15,25,15,15,12,0,0,0,0,90,NOT_FOUND,llm_rejected,WEAK_TOPIC|PLAUSIBLE_CLINICIAN|INSUFFICIENT_DATA
Dr Raymond Alexander Cocciolone,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Rebecca Anh Dao Nguyen,1,0,25,15,15,12,0,15,0,0,90,NOT_FOUND,llm_rejected,COMMON_NAME|COUNTRY_MISMATCH
Dr Rebecca Bronwyn Saunderson,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,PLAUSIBLE_CLINICIAN|AU_INSTITUTION_MATCH
Dr Reichan Oktjabrevna Walther,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Rhonda Anne Harvey,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Richard Anthony Wittal,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Richard Paul Armati,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Ritu  Gupta,1,40,15,15,0,12,15,0,0,0,82,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|COUNTRY_MISMATCH|INSTITUTION_MISMATCH
Dr Ritva  Vyas,1,40,15,15,15,0,15,0,0,0,93,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|UNCOMMON_NAME
Dr Robert Bruce Stephens,1,15,25,15,15,0,0,0,0,0,78,REVIEW,,LLM_DISAGREEMENT|LOW_WORKS_COUNT|NO_TOPIC_VERIFICATION|PLAUSIBLE_CLINICIAN|INSUFFICIENT_PUBLICATION_DATA|NO_TOPIC_DATA|LOW_PUBLICATION_COUNT|COMMON_NAME|WEAK_EVIDENCE
Dr Robert Dean Paver,1,15,15,15,15,12,15,0,0,0,80,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|NO_AU_NZ_HISTORY
Dr Robert Hilton Granger,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Robert MacDonald Miller,1,0,25,15,15,12,0,0,0,0,75,REVIEW,,COMMON_NAME|PLAUSIBLE_CLINICIAN|MINIMAL_PUBLICATION_RECORD
Dr Robert Roy Alexander McDonald,1,0,25,15,0,12,0,0,0,15,75,REVIEW,,SPECIALTY_WEAK|PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Roderick Douglas Peek,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Roderick James Gillespie,1,15,25,15,15,0,0,15,0,15,108,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Rohan Bernard Crouch,1,15,15,15,15,12,15,0,0,0,80,NOT_FOUND,llm_rejected,INSUFFICIENT_DATA|NO_INSTITUTION|NO_TOPICS|NO_PUBLICATIONS_LISTED
Dr Roland Thanh Dam Nguyen,1,0,25,15,15,0,0,0,0,0,63,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|INSTITUTION_MISMATCH|WEAK_TOPIC
Dr Rose King Hang Mak,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Rowena Elizabeth Meani,1,0,25,15,15,0,0,0,0,0,63,NOT_FOUND,llm_rejected,INSTITUTION_MISMATCH|NO_TOPIC_DATA|PLAUSIBLE_CLINICIAN
Dr Rowland Robert Noakes,1,15,15,15,15,12,15,0,0,0,80,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|PLAUSIBLE_CLINICIAN|COMMON_NAME
Dr Ryan Clifford  De Cruz,1,0,15,15,15,12,15,0,0,0,65,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|NO_TOPIC_DATA
Dr Ryan William Toholka,1,0,25,15,15,0,0,0,0,15,78,REVIEW,,NO_PUBLICATIONS_AVAILABLE|PLAUSIBLE_CLINICIAN|NO_TOPIC_DATA|PAEDIATRIC_DERM_CONSISTENT|INSTITUTION_ONLY_PARTIAL_MATCH|AU_INSTITUTION_MATCH
Dr Sachin Arvind Vaidya,1,0,25,15,15,12,0,0,0,15,90,REVIEW,,LOW_WORKS_COUNT|UNVERIFIABLE_SPECIALTY|PLAUSIBLE_CLINICIAN|LIMITED_PUBLICATION_DATA|NO_TOPIC_DATA|COMMON_NAME
Dr Samantha Jane Davidson,1,30,25,0,15,12,0,0,0,15,105,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Samantha Leigh Conias,1,15,25,15,0,0,0,0,0,0,63,REVIEW,,SPECIALTY_WEAK|LLM_DISAGREEMENT|LOW_WORKS_COUNT|PLAUSIBLE_CLINICIAN|INSTITUTION_MISMATCH|NO_TOPIC_DATA|LOW_PUBLICATION_COUNT|WRONG_INSTITUTION|WEAK_EVIDENCE
Dr Sandeep  Kumar,1,40,25,0,0,0,0,0,0,0,73,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|COUNTRY_MISMATCH|WEAK_TOPIC
